id,nemonico,date,open,close,high,low,average,quantityNegotiated,solAmountNegotiated,dollarAmountNegotiated,yesterday,yesterdayClose,currencySymbol
ALICORC12018-01-02,ALICORC1,2018-01-02,10.61,10.75,10.75,10.6,10.645683531458394,27592.0,293735.7,90617.21425266081,2017-12-29,10.6, 
ALICORC12018-01-03,ALICORC1,2018-01-03,10.75,10.7,10.75,10.6,10.624226119933635,312206.0,3316947.14,1023275.3786827086,2018-01-02,10.75, 
ALICORC12018-01-04,ALICORC1,2018-01-04,10.7,10.85,10.85,10.7,10.72402292860865,5757.0,61738.2,19122.874399876102,2018-01-03,10.7, 
ALICORC12018-01-05,ALICORC1,2018-01-05,10.89,11.15,11.15,10.89,10.973574867620817,516131.0,5663802.17,1766074.889304646,2018-01-04,10.85, 
ALICORC12018-01-08,ALICORC1,2018-01-08,11.1,11.2,11.2,11.1,11.10172956060697,366278.0,4066319.3,1265780.326848249,2018-01-05,11.15, 
ALICORC12018-01-09,ALICORC1,2018-01-09,11.25,11.25,11.25,11.25,11.25,938523.0,10558383.75,3282569.1745686303,2018-01-08,11.2, 
ALICORC12018-01-10,ALICORC1,2018-01-10,11.28,11.2,11.28,11.2,11.244674436009836,84177.0,946542.96,294048.76048462256,2018-01-09,11.25, 
ALICORC12018-01-11,ALICORC1,2018-01-11,11.2,11.15,11.2,11.15,11.180990446480795,66677.0,745514.9,231598.2913948431,2018-01-10,11.2, 
ALICORC12018-01-12,ALICORC1,2018-01-12,11.2,11.3,11.3,11.2,11.248215141351222,41740.0,469500.5,145920.90132090132,2018-01-11,11.15, 
ALICORC12018-01-16,ALICORC1,2018-01-16,11.35,11.75,11.75,11.35,11.512943582170092,70421.0,810753.0,252256.68948350963,2018-01-15,11.3, 
ALICORC12018-01-17,ALICORC1,2018-01-17,11.8,11.61,11.8,11.61,11.743240527033025,1286371.0,15106164.06,4700113.273179838,2018-01-16,11.75, 
ALICORC12018-01-18,ALICORC1,2018-01-18,11.62,11.61,11.62,11.61,11.610085135922775,152697.0,1772825.17,552109.9875428216,2018-01-17,11.61, 
ALICORC12018-01-19,ALICORC1,2018-01-19,11.61,11.4,11.61,11.4,11.558850535358566,64256.0,742725.5,231306.602304578,2018-01-18,11.61, 
ALICORC12018-01-22,ALICORC1,2018-01-22,11.4,11.45,11.45,11.4,11.401175972883875,3316403.0,37810894.2,11758947.037785726,2018-01-19,11.4, 
ALICORC12018-01-23,ALICORC1,2018-01-23,11.45,11.48,11.48,11.45,11.460535040488404,117935.0,1351598.2,420534.59863098944,2018-01-22,11.45, 
ALICORC12018-01-24,ALICORC1,2018-01-24,11.45,11.61,11.61,11.45,11.555569334234779,56206.0,649492.33,201862.41802641802,2018-01-23,11.48, 
ALICORC12018-01-25,ALICORC1,2018-01-25,11.61,11.61,11.61,11.61,11.61,205898.0,2390475.78,744001.1764705882,2018-01-24,11.61, 
ALICORC12018-01-26,ALICORC1,2018-01-26,11.61,11.64,11.7,11.59,11.638725255911831,140185.0,1631574.7,508357.9062159215,2018-01-25,11.61, 
ALICORC12018-01-29,ALICORC1,2018-01-29,11.63,11.62,11.63,11.62,11.621753738231494,54170.0,629550.4,195908.0130698615,2018-01-26,11.64, 
ALICORC12018-01-30,ALICORC1,2018-01-30,11.62,11.5,11.62,11.5,11.529313532393182,76158.0,878049.46,272855.64325668116,2018-01-29,11.62, 
ALICORC12018-01-31,ALICORC1,2018-01-31,11.5,11.16,11.5,11.16,11.326603315293816,117335.0,1329007.0,413248.44527363183,2018-01-30,11.5, 
ALICORC12018-02-01,ALICORC1,2018-02-01,11.25,11.26,11.26,11.25,11.259781724832239,283587.0,3193127.72,993042.3635515472,2018-01-31,11.16, 
ALICORC12018-02-02,ALICORC1,2018-02-02,11.26,11.2,11.26,11.1,11.16363702556516,259572.0,2897767.59,902169.2372353674,2018-02-01,11.26, 
ALICORC12018-02-05,ALICORC1,2018-02-05,11.2,11.2,11.2,11.2,11.2,5000.0,56000.0,17404.817404817404,2018-02-02,11.2, 
ALICORC12018-02-06,ALICORC1,2018-02-06,11.15,11.15,11.15,11.0,11.015744708173706,233615.0,2573443.2,798214.3920595533,2018-02-05,11.2, 
ALICORC12018-02-07,ALICORC1,2018-02-07,11.15,11.15,11.15,11.15,11.15,11673.0,130153.95,40053.531312509615,2018-02-06,11.15, 
ALICORC12018-02-08,ALICORC1,2018-02-08,11.15,11.15,11.15,11.15,11.15,133167.0,1484812.05,457428.2347504621,2018-02-07,11.15, 
ALICORC12018-02-09,ALICORC1,2018-02-09,11.13,11.13,11.13,11.13,11.129999999999999,229463.0,2553923.19,785218.5057647963,2018-02-08,11.15, 
ALICORC12018-02-12,ALICORC1,2018-02-12,11.13,11.0,11.13,11.0,11.023381890868606,434742.0,4792327.09,1466216.0287593696,2018-02-09,11.13, 
ALICORC12018-02-13,ALICORC1,2018-02-13,11.0,10.99,11.0,10.99,10.993265829501238,22616.0,248623.7,76159.81007811303,2018-02-12,11.0, 
ALICORC12018-02-14,ALICORC1,2018-02-14,10.99,11.0,11.0,10.95,10.95014080177912,442466.0,4845065.0,1482351.2314517363,2018-02-13,10.99, 
ALICORC12018-02-15,ALICORC1,2018-02-15,11.05,11.0,11.05,11.0,11.009715498420189,221229.0,2435668.35,745080.5598042215,2018-02-14,11.0, 
