[2026-09-24 11:38:16] INICIO extraccion API Yahoo Finance | periodo 2018-01-01 a 2025-12-31 | 32 tickers
[2026-09-24 11:38:23] ALICORC1.LM: 2001 filas | respuesta HTTP 200
[2026-09-24 11:38:25] BACKUSI1.LM: 2003 filas | respuesta HTTP 200
[2026-09-24 11:38:27] BAP.LM: 2000 filas | respuesta HTTP 200
[2026-09-24 11:38:29] BBVAC1.LM: 2000 filas | respuesta HTTP 200
[2026-09-24 11:38:31] BVN.LM: 2000 filas | respuesta HTTP 200
[2026-09-24 11:38:34] CASAGRC1.LM: 0 filas | respuesta: ERROR/sin datos 
[2026-09-24 11:38:36] CORAREI1.LM: 2002 filas | respuesta HTTP 200
[2026-09-24 11:38:38] CPACASC1.LM: 2002 filas | respuesta HTTP 200
[2026-09-24 11:38:40] CREDITC1.LM: 2002 filas | respuesta HTTP 200
[2026-09-24 11:38:42] CVERDEC1.LM: 2000 filas | respuesta HTTP 200
[2026-09-24 11:38:45] ENDISPC1.LM: 0 filas | respuesta: ERROR/sin datos 
[2026-09-24 11:38:48] ENGEPEC1.LM: 0 filas | respuesta: ERROR/sin datos 
[2026-09-24 11:38:50] ENGIEC1.LM: 2002 filas | respuesta HTTP 200
[2026-09-24 11:38:52] FERREYC1.LM: 2000 filas | respuesta HTTP 200
[2026-09-24 11:38:54] IFS.LM: 2001 filas | respuesta HTTP 200
[2026-09-24 11:38:56] INRETC1.LM: 2000 filas | respuesta HTTP 200
[2026-09-24 11:38:58] INTERBC1.LM: 2010 filas | respuesta HTTP 200
[2026-09-24 11:39:00] LUSURC1.LM: 2005 filas | respuesta HTTP 200
[2026-09-24 11:39:02] MINSURI1.LM: 2001 filas | respuesta HTTP 200
[2026-09-24 11:39:04] NEXAPEC1.LM: 2002 filas | respuesta HTTP 200
[2026-09-24 11:39:06] POMALCC1.LM: 0 filas | respuesta: ERROR/sin datos 
[2026-09-24 11:39:08] SCCO.LM: 2003 filas | respuesta HTTP 200
[2026-09-24 11:39:10] SCOTIAC1.LM: 2010 filas | respuesta HTTP 200
[2026-09-24 11:39:12] SIDERC1.LM: 2004 filas | respuesta HTTP 200
[2026-09-24 11:39:15] UNACEMC1.LM: 2002 filas | respuesta HTTP 200
[2026-09-24 11:39:17] VOLCABC1.LM: 2000 filas | respuesta HTTP 200
[2026-09-24 11:39:19] AENZAC1.LM: 0 filas | respuesta: ERROR/sin datos 
[2026-09-24 11:39:21] ATACOBC1.LM: 2009 filas | respuesta HTTP 200
[2026-09-24 11:39:23] BROCALC1.LM: 0 filas | respuesta: ERROR/sin datos 
[2026-09-24 11:39:24] LAREDOC1.LM: 0 filas | respuesta: ERROR/sin datos 
[2026-09-24 11:39:26] CARTAVC1.LM: 0 filas | respuesta: ERROR/sin datos 
[2026-09-24 11:39:28] AUSTRAC1.LM: 2008 filas | respuesta HTTP 200
